# Stage 6D-A4 — REAL PRODUCER-AUTHORED corpus provenance. Files were fetched to scratch storage and deleted; none is committed.
# Reference-test sources (3MF Consortium test_suites, 3mf-samples, lib3mf, assimp, tinyobjloader, numpy-stl, admesh, CuraEngine) are summarised in the Stage 6D-A4 design section.
# class	source	commit	path	bytes	sha256	format	zip	production_path	required_ext	application	expected	actual	parts	triangles
REAL PRODUCER-AUTHORED	github.com/prusa3d/PrusaSlicer	6f510128d7c2	src/slic3r-shared/test/data/fdm_roundtrip1.3mf	42568	f14d9c803e38eee1	3mf	zip32	no	-	PrusaSlicer-2.9.6	import (refuse OBJ polygons by policy)	imported	2	72
REAL PRODUCER-AUTHORED	github.com/prusa3d/PrusaSlicer	6f510128d7c2	src/slic3r-shared/test/data/fdm_roundtrip2.3mf	27776	ef635f005ec6dca8	3mf	zip32	no	-	PrusaSlicer-2.9.6	import (refuse OBJ polygons by policy)	imported	2	72
REAL PRODUCER-AUTHORED	github.com/prusa3d/PrusaSlicer	6f510128d7c2	src/slic3r-shared/test/data/sla_roundtrip1.3mf	14566	ade4edf87bbd0318	3mf	zip32	no	-	PrusaSlicer-2.9.2	import (refuse OBJ polygons by policy)	imported	1	24
REAL PRODUCER-AUTHORED	github.com/prusa3d/PrusaSlicer	6f510128d7c2	src/slic3r-shared/test/data/sla_roundtrip2.3mf	15304	3e6e2af09f88f450	3mf	zip32	no	-	PrusaSlicer-2.9.2	import (refuse OBJ polygons by policy)	imported	1	24
REAL PRODUCER-AUTHORED	github.com/prusa3d/PrusaSlicer	6f510128d7c2	src/slic3r-shared/test/data/wipe_tower.3mf	32730	e29ae5594879dd90	3mf	zip32	no	-	PrusaSlicer-2.9.0	import (refuse OBJ polygons by policy)	imported	1	36
REAL PRODUCER-AUTHORED	github.com/prusa3d/PrusaSlicer	6f510128d7c2	tests/data/seam_test_object.3mf	2514963	9fa91ee2f54a33dc	3mf	zip32	no	-	PrusaSlicer-2.8.0-alpha3	import (refuse OBJ polygons by policy)	imported	1	225154
REAL PRODUCER-AUTHORED	github.com/bambulab/BambuStudio	77b9dd94d1e3	resources/calib/filament_flow/flowrate-test-pass1.3mf	142970	f71b839130000caa	3mf	zip64	no	-	-	import (refuse OBJ polygons by policy)	imported	9	6920
REAL PRODUCER-AUTHORED	github.com/bambulab/BambuStudio	77b9dd94d1e3	resources/calib/filament_flow/flowrate-test-pass2.3mf	123202	b67d9c294b357987	3mf	zip64	no	-	-	import (refuse OBJ polygons by policy)	imported	10	5596
REAL PRODUCER-AUTHORED	github.com/bambulab/BambuStudio	77b9dd94d1e3	resources/calib/pressure_advance/auto_pa_line_dual.3mf	29649	f06f8914ad2c7b1f	3mf	zip32	yes	p	BambuStudio-02.00.02.01	import (refuse OBJ polygons by policy)	imported	16	192
REAL PRODUCER-AUTHORED	github.com/bambulab/BambuStudio	77b9dd94d1e3	resources/calib/pressure_advance/auto_pa_line_single.3mf	28096	0471cf345fffa68e	3mf	zip32	yes	p	BambuStudio-02.00.02.01	import (refuse OBJ polygons by policy)	imported	8	96
REAL PRODUCER-AUTHORED	github.com/bambulab/BambuStudio	77b9dd94d1e3	resources/calib/pressure_advance/pa_pattern.3mf	23059	2e2c0e271a50c6f8	3mf	zip32	yes	p	BambuStudio-01.07.03.04	import (refuse OBJ polygons by policy)	imported	1	12
REAL PRODUCER-AUTHORED	github.com/bambulab/BambuStudio	77b9dd94d1e3	resources/calib/pressure_advance/pressure_advance_test.stl	126684	ab995a94294fcf32	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	2532
REAL PRODUCER-AUTHORED	github.com/bambulab/BambuStudio	77b9dd94d1e3	resources/calib/pressure_advance/tower.stl	316684	0b1fbd327eefb9eb	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	6332
REAL PRODUCER-AUTHORED	github.com/bambulab/BambuStudio	77b9dd94d1e3	resources/calib/pressure_advance/tower_with_seam.stl	30284	656b86be65b1829a	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	604
REAL PRODUCER-AUTHORED	github.com/bambulab/BambuStudio	77b9dd94d1e3	resources/calib/retraction/retraction_tower.stl	1766484	22da1ae15f4e3cf5	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	35328
REAL PRODUCER-AUTHORED	github.com/bambulab/BambuStudio	77b9dd94d1e3	resources/calib/temperature_tower/temperature_tower.stl	3186484	ba74c8fc9334a321	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	63728
REAL PRODUCER-AUTHORED	github.com/bambulab/BambuStudio	77b9dd94d1e3	resources/calib/vfa/VFA.stl	1487684	0be65dff186e082e	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	29752
REAL PRODUCER-AUTHORED	github.com/bambulab/BambuStudio	77b9dd94d1e3	resources/model/3DBenchy.stl	11257784	bda2c80f10195078	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	225154
REAL PRODUCER-AUTHORED	github.com/bambulab/BambuStudio	77b9dd94d1e3	resources/model/Bambu_Cube.stl	43484	7e006bc455d455d4	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	868
REAL PRODUCER-AUTHORED	github.com/bambulab/BambuStudio	77b9dd94d1e3	resources/model/Bambu_Cube_V2.stl	665984	992f3eaf46c6891b	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	13318
REAL PRODUCER-AUTHORED	github.com/bambulab/BambuStudio	77b9dd94d1e3	resources/model/Disc.stl	72084	1a94e3d30e71c168	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	1440
REAL PRODUCER-AUTHORED	github.com/bambulab/BambuStudio	77b9dd94d1e3	resources/model/TearDrop.stl	103784	3d6ecfc5778b2203	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	2074
REAL PRODUCER-AUTHORED	github.com/bambulab/BambuStudio	77b9dd94d1e3	resources/model/cone.stl	25584	55bce1fe223cb307	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	510
REAL PRODUCER-AUTHORED	github.com/bambulab/BambuStudio	77b9dd94d1e3	resources/model/double_tear_romboid_cylinder.stl	19084	a560d33f2f5a51e9	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	380
